Model,R2,MAE,MSE,RMSE,Max Error,MAPE (%),Time (s)
Extra Trees,0.9489915350307424,11658.129707004633,574109348.2561818,23960.579046763076,237854.5,18.264700848435744,17.36236572265625
Random Forest,0.9488749296547316,11974.999585581903,575421762.5087008,23987.95036072696,222566.8,19.463063986652244,13.631649017333984
Decision Tree,0.9247262954947337,13248.393567729627,847218936.3156173,29107.02554909411,529707.0,20.22933955940242,0.3176252841949463
LightGBM,0.8704080471760722,24287.897938087408,1458580485.0201116,38191.36662938512,380485.6529681712,55.790233582940274,0.3174569606781006
XGBoost,0.8686684638396737,25033.431375515498,1478159804.9643402,38446.84388820935,360881.71875,59.07462953999099,0.8896105289459229
Hist Gradient Boosting,0.8343878161173583,27719.61348910613,1863994594.023758,43174.00368304702,391118.2884720417,64.74947876734774,2.1590774059295654
CatBoost,0.7979891622742915,31268.102889763097,2273667918.791321,47682.99402083851,429394.3277136952,74.20074584206154,0.642714262008667
Gradient Boosting,0.759257635974445,34731.62915685067,2709598138.1063633,52053.80041943492,472664.18822562945,87.56669308239759,2.028733491897583
Linear Regression,0.7062228935672847,39883.82043007016,3306513599.425575,57502.292123232575,410768.8004208638,105.9759155107807,0.14508962631225586
